province_cn,province_std,province_label_map,province_label_bar,n_records,area_km2,density_100k,count_class,density_class
北京市,Beijing,Beijing,Beijing,18,16421.41772965691,109.612947531882,11 - 20,101-200
天津市,Tianjin,Tianjin,Tianjin,26,11942.558436058362,217.70879446984972,21 - 30,>200
河北省,Hebei,Hebei,Hebei,13,187988.30824171536,6.915323682409334,11 - 20,6-20
山西省,Shanxi,Shanxi,Shanxi,11,156665.63841712105,7.0213226787565155,11 - 20,6-20
内蒙古自治区,Inner Mongolia,Inner Mongolia,Neimenggu,36,1145885.2445285025,3.141675850343367,31 - 40,0-5
辽宁省,Liaoning,Liaoning,Liaoning,35,147221.6115537338,23.77368351739955,31 - 40,21-40
吉林省,Jilin,Jilin,Jilin,28,191041.36917764563,14.656511372656333,21 - 30,6-20
黑龙江省,Heilongjiang,Heilongjiang,Heilongjiang,22,452869.2342693844,4.857914456364579,21 - 30,0-5
上海市,Shanghai,Shanghai,Shanghai,25,7206.952766272303,346.887246396245,21 - 30,>200
江苏省,Jiangsu,Jiangsu,Jiangsu,50,102736.86676540985,48.66802110499474,41 - 50,41-100
浙江省,Zhejiang,Zhejiang,Zhejiang,38,104159.37596380872,36.48255344118373,31 - 40,21-40
安徽省,Anhui,Anhui,Anhui,44,140281.72378471168,31.36545432498831,41 - 50,21-40
福建省,Fujian,Fujian,Fujian,16,122484.33467249743,13.062894975738176,11 - 20,6-20
江西省,Jiangxi,Jiangxi,Jiangxi,31,167050.58408470388,18.557253283401444,31 - 40,6-20
山东省,Shandong,Shandong,Shandong,31,155733.40415024085,19.905812866001014,31 - 40,6-20
河南省,Henan,Henan,Henan,38,165591.5900817885,22.948025308067365,31 - 40,21-40
湖北省,Hubei,Hubei,Hubei,35,185936.2345531723,18.82365752114391,31 - 40,6-20
湖南省,Hunan,Hunan,Hunan,62,212031.0610750913,29.240998788400418,61 - 71,21-40
广东省,Guangdong,Guangdong,Guangdong,14,178715.9729648577,7.833659055619459,11 - 20,6-20
广西壮族自治区,Guangxi,Guangxi,Guangxi,38,236490.79678503115,16.0682785616143,31 - 40,6-20
海南省,Hainan,Hainan,Hainan,31,40083.43316355542,77.33868472171132,31 - 40,41-100
重庆市,Chongqing,Chongqing,Chongqing,12,82424.43806604431,14.558788972737368,11 - 20,6-20
四川省,Sichuan,Sichuan,Sichuan,35,485830.59739946906,7.204157207748202,31 - 40,6-20
贵州省,Guizhou,Guizhou,Guizhou,35,175983.61368554045,19.888215309943796,31 - 40,6-20
云南省,Yunnan,Yunnan,Yunnan,63,383270.9645979474,16.43745700018973,61 - 71,6-20
西藏自治区,Xizang,Xizang,Xizang,68,1202248.1335734904,5.656070331993851,61 - 71,6-20
陕西省,Shaanxi,Shaanxi,Shaanxi,59,205650.2106239016,28.689491647494943,51 - 60,21-40
甘肃省,Gansu,Gansu,Gansu,53,425531.4817698271,12.455012677221392,51 - 60,6-20
青海省,Qinghai,Qinghai,Qinghai,31,696799.7448466559,4.448910928752155,31 - 40,0-5
宁夏回族自治区,Ningxia,Ningxia,Ningxia,24,51983.14077400773,46.16881481697683,21 - 30,41-100
新疆维吾尔自治区,Xinjiang,Xinjiang,Xinjiang,35,1630319.3783040482,2.146818621294253,31 - 40,0-5
香港特别行政区,Hong Kong,Hong Kong,Hong Kong,1,1081.5917495576175,92.45632655842748,0 - 10,41-100
澳门特别行政区,Macau,Macau,Macau,0,25.151945580352585,0,0 - 10,0-5
台湾省,Taiwan,Taiwan,Taiwan,1,36351.4419476691,2.750922512068662,0 - 10,0-5
